,experiment,r_mean,r_std,r_area,u_mean,u_std,u_area
0,hA5_1,-1.038509747244023,2.981119932482183,0.45758338445574187,0.44235417150600725,0.6078526151145863,0.5599471646742621
1,hA5_2,-0.6654477661340489,3.222461813288919,0.41345410080870004,0.5252757876821332,0.5461277374453498,0.6107224802915397
2,hA5_pooled,-0.9798173599564045,2.8631921495307293,0.42786582119940136,0.4771467712328462,0.4714942921276566,0.5861786931808355
3,hA6_1,-0.552065128306339,2.2435256821236442,0.5229058661035272,-0.20826286188354262,0.5983984952738176,0.4745004335173898
4,hA6_2,0.18903889261491613,1.9734000942766898,0.540586239261021,-0.13110811525821667,0.531092090341607,0.46093736626775267
5,hA6_pooled,-0.11438029800256429,2.010088710379537,0.5548933274949046,-0.20537988355916678,0.5129267977210448,0.4385179884533908
6,aA5A6_1,-0.5776633138903685,2.3184485422454144,0.45225688446174656,0.22376435454362686,0.44997464413575605,0.5469253117787667
7,aA5A6_2,0.4252903938578851,2.307056398176778,0.6047987882664427,-0.09042025195320103,0.4373372543690189,0.39175223623203037
8,aA5A6_pooled,-0.46406702644631814,2.3991943074974955,0.42362379743444717,0.15350776060492344,0.45902681319188193,0.580553955831913
9,alt_1,-0.23953137666927643,2.0672652486970207,0.4405271118537197,-0.052009489820459574,0.5527615302315282,0.5595674360574904
10,alt_2,0.2512653604463454,1.1212508256888587,0.7191436612239873,-0.08190417059216258,0.4170282400264142,0.23692954993212006
11,alt_pooled,0.0027375316017501043,1.7395718281007928,0.39097263580076264,0.027644858525518186,0.5177624793482487,0.6017501547339116
